id,lon,lat
pt_ll_1,5.200000000000001,7.92
pt_ll_2,6.5197600000000016,8.64
pt_ll_3,6.640000000000001,9.36
pt_ll_4,7.720000000000001,10.08
pt_ll_5,9.03976,11.52
pt_ll_6,5.200000000000001,7.92
pt_ll_7,5.4397600000000015,7.92
pt_ll_8,5.380000000000001,7.92
pt_ll_9,4.840000000000001,7.199999999999999
pt_ll_10,4.840000000000001,7.199999999999999
pt_ll_11,4.120000000000001,6.4799999999999995
pt_ll_12,4.240240000000001,6.4799999999999995
pt_ll_13,3.040000000000001,5.76
pt_ll_14,2.8002400000000005,5.04
pt_ll_15,2.8002400000000005,5.04
pt_ll_16,5.380000000000001,7.92
pt_ll_17,6.280000000000001,8.64
pt_ll_18,7.360000000000001,10.08
pt_ll_19,7.360000000000001,10.08
pt_ll_20,7.120240000000001,9.36
pt_ll_21,7.0,9.36
pt_ll_22,6.760240000000001,9.36
pt_ll_23,7.360000000000001,10.08
pt_ll_24,7.840240000000001,10.08
pt_ll_25,8.08,10.799999999999999
pt_ll_26,8.08,10.799999999999999
pt_ll_27,8.31976,10.799999999999999
pt_ll_28,6.640000000000001,9.36
pt_ll_29,5.920000000000002,8.64
pt_ll_30,6.640000000000001,9.36
pt_ll_31,5.5600000000000005,7.92
pt_ll_32,5.200000000000001,7.92
pt_ll_33,6.280000000000001,8.64
pt_ll_34,5.200000000000001,7.92
pt_ll_35,8.08,10.799999999999999
pt_ll_5143,8.56024,10.799999999999999
pt_ll_36,9.520000000000001,12.24
pt_ll_37,9.88,12.24
pt_ll_38,10.600000000000001,12.959999999999999
pt_ll_39,10.000240000000002,12.24
pt_ll_40,8.08,10.799999999999999
pt_ll_41,8.08,10.799999999999999
pt_ll_42,8.08,10.799999999999999
pt_ll_43,12.4,15.12
pt_ll_44,12.040000000000001,14.399999999999999
pt_ll_45,12.639759999999999,15.12
pt_ll_46,13.3,15.84
pt_ll_47,14.560000000000002,17.28
pt_ll_48,13.84,16.56
pt_ll_49,14.920000000000002,17.28
pt_ll_50,16.72,19.439999999999998
pt_ll_51,18.16,20.88
pt_ll_52,18.88,21.599999999999998
pt_ll_53,19.83976,22.32
pt_ll_5761,11.68,14.399999999999999
pt_ll_54,11.19976,13.68
pt_ll_55,10.96,13.68
pt_ll_56,10.24,12.959999999999999
pt_ll_57,10.479759999999999,12.959999999999999
pt_ll_58,10.600000000000001,12.959999999999999
pt_ll_59,9.88,12.24
pt_ll_60,9.75976,12.24
pt_ll_61,9.88,12.24
pt_ll_62,9.520000000000001,12.24
pt_ll_63,8.08,10.799999999999999
pt_ll_64,8.56024,10.799999999999999
pt_ll_65,8.31976,10.799999999999999
pt_ll_66,8.08,10.799999999999999
pt_ll_67,7.599760000000002,10.08
pt_ll_68,8.440000000000001,10.799999999999999
pt_ll_69,9.16,11.52
pt_ll_70,9.75976,12.24
pt_ll_71,8.8,11.52
pt_ll_72,7.360000000000001,10.08
pt_ll_73,5.5600000000000005,7.92
pt_ll_74,5.920000000000002,8.64
pt_ll_75,7.360000000000001,10.08
pt_ll_76,8.56024,10.799999999999999
pt_ll_77,10.000240000000002,12.24
pt_ll_78,10.000240000000002,12.24
pt_ll_79,10.96,13.68
pt_ll_80,11.91976,14.399999999999999
pt_ll_81,12.4,15.12
pt_ll_82,13.120000000000001,15.84
pt_ll_83,19.6,22.32
pt_ll_84,19.240000000000002,21.599999999999998
pt_ll_85,18.88,21.599999999999998
pt_ll_86,18.16,20.88
pt_ll_87,16.72,19.439999999999998
pt_ll_88,17.080000000000002,19.439999999999998
pt_ll_89,16.72,19.439999999999998
pt_ll_90,16.72,19.439999999999998
pt_ll_91,17.080000000000002,19.439999999999998
pt_ll_92,16.0,18.72
pt_ll_93,15.280000000000001,18.0
pt_ll_94,14.560000000000002,17.28
pt_ll_95,13.48,15.84
pt_ll_96,12.639759999999999,15.12
pt_ll_97,11.800240000000002,14.399999999999999
pt_ll_98,11.860000000000001,14.399999999999999
pt_ll_99,12.4,15.12
pt_ll_100,12.58,15.12
pt_ll_101,12.4,15.12
pt_ll_102,12.040000000000001,14.399999999999999
pt_ll_103,12.27976,14.399999999999999
pt_ll_104,12.58,15.12
pt_ll_105,11.800240000000002,14.399999999999999
pt_ll_106,12.040000000000001,14.399999999999999
pt_ll_107,13.120000000000001,15.84
pt_ll_108,10.96,13.68
pt_ll_109,11.800240000000002,14.399999999999999
pt_ll_110,10.96,13.68
pt_ll_111,10.600000000000001,12.959999999999999
pt_ll_112,11.68,14.399999999999999
pt_ll_113,10.96,13.68
pt_ll_114,12.22,14.399999999999999
pt_ll_115,12.639759999999999,15.12
pt_ll_116,12.76,15.12
pt_ll_5144,13.66,15.84
pt_ll_117,13.84,16.56
pt_ll_118,14.2,16.56
pt_ll_119,11.800240000000002,14.399999999999999
pt_ll_120,13.84,16.56
pt_ll_121,12.4,15.12
pt_ll_122,14.560000000000002,17.28
pt_ll_123,15.280000000000001,18.0
pt_ll_124,16.900000000000002,19.439999999999998
pt_ll_125,16.54,18.72
pt_ll_126,14.560000000000002,17.28
pt_ll_127,16.0,18.72
pt_ll_128,10.600000000000001,12.959999999999999
pt_ll_129,10.11976,12.24
pt_ll_130,11.68,14.399999999999999
pt_ll_131,10.96,13.68
pt_ll_132,11.68,14.399999999999999
pt_ll_133,10.24,12.959999999999999
pt_ll_134,10.96,13.68
pt_ll_5145,11.68,14.399999999999999
pt_ll_135,10.24,12.959999999999999
pt_ll_136,12.160240000000002,14.399999999999999
pt_ll_137,9.34,11.52
pt_ll_138,9.34,11.52
pt_ll_5146,9.88,12.24
pt_ll_139,9.34,11.52
pt_ll_140,10.720240000000002,12.959999999999999
pt_ll_141,10.24,12.959999999999999
pt_ll_142,12.22,14.399999999999999
pt_ll_143,11.19976,13.68
pt_ll_144,12.040000000000001,14.399999999999999
pt_ll_145,12.4,15.12
pt_ll_146,8.620000000000001,10.799999999999999
pt_ll_147,8.440000000000001,10.799999999999999
pt_ll_148,9.399759999999999,11.52
pt_ll_149,10.24,12.959999999999999
pt_ll_150,10.96,13.68
pt_ll_151,11.68,14.399999999999999
pt_ll_152,12.4,15.12
pt_ll_153,12.940000000000001,15.12
pt_ll_154,11.5,13.68
pt_ll_155,8.8,11.52
pt_ll_156,9.75976,12.24
pt_ll_157,10.720240000000002,12.959999999999999
pt_ll_158,10.24,12.959999999999999
pt_ll_159,7.9,10.08
pt_ll_160,8.08,10.799999999999999
pt_ll_161,8.08,10.799999999999999
pt_ll_162,9.88,12.24
pt_ll_163,20.800240000000002,23.04
pt_ll_164,18.88,21.599999999999998
pt_ll_165,18.88,21.599999999999998
pt_ll_166,18.16,20.88
pt_ll_167,20.08024,22.32
pt_ll_168,19.11976,21.599999999999998
pt_ll_169,19.11976,21.599999999999998
pt_ll_170,19.11976,21.599999999999998
pt_ll_171,13.84,16.56
pt_ll_172,14.560000000000002,17.28
pt_ll_173,11.19976,13.68
pt_ll_174,0.39976000000000056,2.88
